screen,file,references,network_calls,uses_shared_preferences,action_callbacks,disabled_actions
AtlasCopilotScreen,lib/features/copilot/presentation/screens/atlas_copilot_screen.dart,12,,False,8,0
AtlasIntelligenceScreen,lib/features/dashboard/presentation/screens/atlas_intelligence_screen.dart,4,,False,10,0
AtlasOperationsIntelligenceScreen,lib/features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart,3,,False,10,0
DashboardScreen,lib/features/dashboard/presentation/screens/dashboard_screen.dart,8,,False,16,0
DecisionScenarioSimulatorScreen,lib/features/dashboard/presentation/screens/decision_scenario_simulator_screen.dart,5,,False,6,0
ExecutiveDashboardScreen,lib/features/dashboard/presentation/screens/executive_dashboard_screen.dart,5,,False,130,0
ExecutiveDecisionCenterScreen,lib/features/dashboard/presentation/screens/executive_decision_center_screen.dart,3,,False,7,0
AtlasDataGovernanceScreen,lib/features/data_governance/presentation/screens/atlas_data_governance_screen.dart,5,,False,4,0
AtlasDataIntelligenceScreen,lib/features/data_intelligence/presentation/screens/atlas_data_intelligence_screen.dart,5,,False,7,0
AtlasDecisionEngineScreen,lib/features/decision_engine/presentation/screens/atlas_decision_engine_screen.dart,3,,False,2,0
AtlasDecisionEngineV2Screen,lib/features/decision_engine_v2/presentation/screens/atlas_decision_engine_v2_screen.dart,5,,False,3,0
AtlasDecisionIntelligenceLabScreen,lib/features/decision_intelligence_lab/presentation/screens/atlas_decision_intelligence_lab_screen.dart,6,,False,4,0
AtlasDecisionTrackingScreen,lib/features/decision_tracking/presentation/screens/atlas_decision_tracking_screen.dart,4,,False,5,0
AtlasComparativeDiagnosticScreen,lib/features/diagnostics/presentation/screens/atlas_comparative_diagnostic_screen.dart,3,,False,7,0
AtlasDiagnosticScreen,lib/features/diagnostics/presentation/screens/atlas_diagnostic_screen.dart,5,,False,3,0
AtlasDigitalTwinScreen,lib/features/digital_twin/presentation/screens/atlas_digital_twin_screen.dart,6,,False,4,0
AtlasEnterpriseOperationsScreen,lib/features/enterprise_operations/presentation/screens/atlas_enterprise_operations_screen.dart,10,,False,4,0
AtlasEnterprise24AScreen,lib/features/enterprise_platform/presentation/screens/atlas_enterprise_24a_screen.dart,5,,False,14,0
AtlasEnterprise24BScreen,lib/features/enterprise_platform/presentation/screens/atlas_enterprise_24b_screen.dart,5,,False,13,0
AtlasEnterprise24CScreen,lib/features/enterprise_platform/presentation/screens/atlas_enterprise_24c_screen.dart,5,,False,12,0
AtlasEnterprise24DScreen,lib/features/enterprise_platform/presentation/screens/atlas_enterprise_24d_screen.dart,5,,False,5,0
AtlasEnterprisePlatformScreen,lib/features/enterprise_platform/presentation/screens/atlas_enterprise_platform_screen.dart,4,,False,11,0
AtlasExecutiveAiAdvisorScreen,lib/features/executive_ai_advisor/presentation/screens/atlas_executive_ai_advisor_screen.dart,3,,False,6,0
AtlasExecutiveAlertsScreen,lib/features/executive_alerts/presentation/screens/atlas_executive_alerts_screen.dart,5,,False,8,0
AtlasExecutiveBrainHistoricalIntelligenceScreen,lib/features/executive_brain/presentation/screens/atlas_executive_brain_historical_intelligence_screen.dart,5,,False,1,0
AtlasExecutiveBrainHistoryScreen,lib/features/executive_brain/presentation/screens/atlas_executive_brain_history_screen.dart,5,,False,3,0
AtlasExecutiveBrainScreen,lib/features/executive_brain/presentation/screens/atlas_executive_brain_screen.dart,6,,False,4,0
AtlasExecutiveGoalHistoryScreen,lib/features/executive_goals/presentation/screens/atlas_executive_goal_history_screen.dart,4,,False,0,0
AtlasExecutiveGoalsScreen,lib/features/executive_goals/presentation/screens/atlas_executive_goals_screen.dart,6,,False,10,0
AtlasExecutiveIntelligenceScreen,lib/features/executive_intelligence/presentation/screens/atlas_executive_intelligence_screen.dart,13,,False,6,0
AtlasExecutiveKpiHistoryScreen,lib/features/executive_kpis/presentation/screens/atlas_executive_kpi_history_screen.dart,5,,False,0,0
AtlasExecutiveKpisScreen,lib/features/executive_kpis/presentation/screens/atlas_executive_kpis_screen.dart,5,,False,10,0
AtlasFarmIntelligenceScreen,lib/features/farm/presentation/screens/atlas_farm_intelligence_screen.dart,3,,False,4,0
FarmDetailScreen,lib/features/farm/presentation/screens/farm_detail_screen.dart,6,,False,32,0
FarmFormScreen,lib/features/farm/presentation/screens/farm_form_screen.dart,6,,False,2,0
FarmListScreen,lib/features/farm/presentation/screens/farm_list_screen.dart,7,POST /farms; PATCH /farms/${farm.id}; DELETE /farms/${farm.id},False,5,0
